"city","year","lts","run_timestamp","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","access_15min_vol","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","found_routes","avg_dist_km","processing_time_minutes"
"London",2021,4,"20260225_115015",340900,6686.68,1.24,0.17,27.91,20.63,15.28,2.49,61.59,378227729,6414543.9,301965,4.71,54.9,18.87,1.8,24.43,159483,69312,53295,19875,19948,NA,NA
"London",2026,1,"20260225_115015",340900,7935.76,1.45,4.23,28.99,87.13,5.61,0.36,6.9,83772120,6504691.442,392838,6.04,64.57,16.39,1,18.04,186791,86133,92394,27520,19912,NA,NA
"London",2026,2,"20260225_115015",340900,7717.14,1.42,-3.91,29.74,68.73,25.76,0.33,5.17,144862825,6504691.442,392838,6.04,64.57,16.39,1,18.04,186791,86133,92394,27520,19941,NA,NA
"London",2026,3,"20260225_115015",340900,7709.38,1.42,-0.57,29.63,67.28,25.9,1.74,5.07,148895433,6504691.442,392838,6.04,64.57,16.39,1,18.04,186791,86133,92394,27520,19942,NA,NA
"London",2026,4,"20260225_115015",340900,6941.23,1.28,3.99,40.14,31.54,15.38,0.99,52.09,295340675,6504691.442,392838,6.04,64.57,16.39,1,18.04,186791,86133,92394,27520,19944,NA,NA
"Mexico City",2016,1,"20260225_231650",14919501,8134.19,1.45,0,1.92,63.27,0.22,9.79,26.72,10669452,11381823.164,139743,1.23,45.85,0.45,14.79,38.91,117392,13891,5017,3444,12414,NA,NA
"Mexico City",2016,2,"20260225_231650",14919501,8161.96,1.45,0,2.07,62.63,1.11,9.72,26.52,10776274,11381823.164,139743,1.23,45.85,0.45,14.79,38.91,117392,13891,5017,3444,12494,NA,NA
"Mexico City",2016,3,"20260225_231650",14919501,9565.98,1.43,0,2.08,44.69,0.71,34.56,20.03,23478087,11381823.164,139743,1.23,45.85,0.45,14.79,38.91,117392,13891,5017,3444,16257,NA,NA
"Mexico City",2016,4,"20260225_231650",14919501,9988.79,1.27,0,3.45,15.76,0.3,13.68,70.25,56584700,11381823.164,139743,1.23,45.85,0.45,14.79,38.91,117392,13891,5017,3444,19999,NA,NA
"Mexico City",2021,1,"20260225_231650",14919501,8805.9,1.44,8.26,9.15,71.95,7.94,1.66,18.43,11768742,12679787.01,284712,2.25,52.06,14.3,3.46,30.18,190030,55220,33343,6119,14169,NA,NA
"Mexico City",2021,2,"20260225_231650",14919501,9814.98,1.4,20.25,8.71,52.59,31.75,1.21,14.44,25716851,12679787.01,284712,2.25,52.06,14.3,3.46,30.18,190030,55220,33343,6119,17347,NA,NA
"Mexico City",2021,3,"20260225_231650",14919501,10021.15,1.39,4.76,8.08,48.59,30.8,7.28,13.32,27880047,12679787.01,284712,2.25,52.06,14.3,3.46,30.18,190030,55220,33343,6119,17966,NA,NA
"Mexico City",2021,4,"20260225_231650",14919501,9889.31,1.26,-1,7.89,18.71,15.27,3.3,62.71,59775809,12679787.01,284712,2.25,52.06,14.3,3.46,30.18,190030,55220,33343,6119,19998,NA,NA
"Milan",2016,1,"20260225_225931",2125831,6957.03,1.47,0,14.19,70.18,1.54,21.26,6.99,36246123,4607478.315,199800,4.34,43.37,2.25,37.09,17.29,115172,19404,3553,61671,18957,NA,NA
"Milan",2016,2,"20260225_225931",2125831,7069.78,1.47,0,13.93,66.58,7.1,19.82,6.45,40349036,4607478.315,199800,4.34,43.37,2.25,37.09,17.29,115172,19404,3553,61671,19181,NA,NA
